Ping,Mark,Tom
Macquarie Electronics,15Five,Association House of Chicago
MakerBot Industries,Game Changer Sales,TechCrunch and Engadget
Andela,HealPros,Yamaha Motor Ventures & Laboratory Silicon Valley
,eTeam Executive Search,Amazon
TD Ameritrade,Sales6ix,
MakerBot¨,Sonian,Yahoo!
Upwork,The Business Backer,Peel
Lam Research,MediaTek Inc.,TeamStreamz
Sakya Monastery of Tibetan Buddhism,ArgoMetrix,"Cellfire, A Catalina Company"
Andela,Nu Skin Enterprises,Self employed
MakerBot¨,Sarbanes-Oxley/Governance-Risk-Compliance Group,
Entrata,Novantas,
Andela,Harvard Business Publishing,Amway
"Vulcan, Inc.",Various Boards,Copywriter/Editor
"The Bridge Group, Inc.",QR LifeSupport,Sprint Accelerator.
Apple Inc.,Gensler,NerdWallet
"NBCUniversal Media, LLC",Myriad Supply,CondŽ Nast
Arcam AB,Sakya Monastery of Tibetan Buddhism,ELBTV GmbH
Andela,Buoyant Capital,quip.
"Netspectrum Communication Systems, Inc.",Psynet Group,
"Perch Interactive, Inc",Cloudsoft Corporation,Edmunds.com
PR Synergy Plus,Google,Everlane
littleBits,Entrepreneur Media,Yeegr Ltd.
VicenziLaw.com,"Mobiquity, Inc.",Google
traind.net,Stratasys,Shoppable¨
Carmera,littleBits,Bionic Solution
,Urban Montessori Charter School,Self  Employed
J3D,"Maxons Restorations, Inc.",
Macquarie Electronics,YPO - Young Presidents' Organization,Sensai Corporation
MindMeld (formerly Expect Labs),JP Morgan Chase,Pandora
Private Strategy Consultant,Susan B. Levy Consulting,Andela
BetterWorks,Endai,The Wall Street Journal
OptumInsight (A-Life Medical),Harvard Business School,Yext
"Salnikoff & Partners, LLC.",Rock Properties,LocalBanya
Sandler Training - Sales Strategy Corp. NYC,String Real Est Info Services,Brianne Garcia Co
"Tory Ventures, LLC",Predict,Kontor
home,Emerging Media Inc.,Betterment
"Voodoo Manufacturing, Inc.",Recon Ventures,Google
Conde Nast,Sports Systems,Mobext (Havas Media Group)
Sales Development Meetup,GoRion (formerly Litigation Guard),Launch Tennessee
Pitney Bowes,Medical Imaging Specialists,
ASML,"TrustCloud, Inc.",Sociality Squared
Stratasys,Verizon,HappyRageDino LLC
MSCI Inc.,Accelerance,MailTime Inc.
The Wirecutter,University of Louisville,MaestroIQ
Addon Marketing Services GmbH,"3D Printing Channel, Association of 3D Printing",Engadget
Applied Materials,Two Sigma Investments,University of Chicago Booth School of Business
Leadas Business Advisors,"Hoffman Industries, LLC",Prudential Douglas Elliman
"Computer Market Research, Ltd.",Great Ecology,Morgan Stanley / Mitsubishi UFJ Morgan Stanley Securities
Storyful,Empact - Entrepreneurial Impact,ActiveProtective
"AM Technical Solutions, Inc",Deloitte & Touche LLP,MarketBridge
Consultant,Voksel,iinside
Deloitte,MakerBot Industries,Concentric Equity Partners
MakerBot¨,Internal Business Consulting,OpenMarket
,Entrepreneur Media,Unique Sound
3DSHOOK,Write2Market,Scalar Analytics
